お名前(HN可),所属陣営,銘柄コード,年末時点で2倍になりそうな銘柄は？
五十嵐康伸,湘南投資勉強会,1688,ＷＴ穀物上場投信 (1688) ：イスラエル-パレスチナ戦争とロシア-ウクライナ戦争が拡大して原材料高騰
五十嵐康伸,湘南投資勉強会,1689,ＷＴ天然ガス上場投 (1689)：イスラエル-パレスチナ戦争とロシア-ウクライナ戦争が拡大して原材料高騰
五十嵐康伸,湘南投資勉強会,1695,ＷＴ小麦上場投信 (1695)：イスラエル-パレスチナ戦争とロシア-ウクライナ戦争が拡大して原材料高騰
五十嵐康伸,湘南投資勉強会,1696,ＷＴとうもろこし (1696)：イスラエル-パレスチナ戦争とロシア-ウクライナ戦争が拡大して原材料高騰
五十嵐康伸,湘南投資勉強会,1697,ＷＴ大豆上場投信 (1697)：イスラエル-パレスチナ戦争とロシア-ウクライナ戦争が拡大して原材料高騰
えびす,湘南投資勉強会,1712,ダイセキ環境ソリューション、業績の底を脱して業績拡大、株主還元方針の開示
くっすんすん,湘南投資勉強会,1717,明豊ファシリティワークス 割安・高配当。採用増え業績向上の下準備完了。
エル川,湘南投資勉強会,1723,日本電技　昨年ブレイクした空調関連の中でも日本電技が手掛ける空調計装工事は参入障壁が高く寡占業界かつ受注から納期の間隔が短く価格転嫁しやすい。一年で2倍になるイメージはあまりないがビルの省エネや脱炭素に向けて重要な領域かつ今後も業績好調が見込まれるので更なる水準訂正が起きればワンチャン。
りんご,湘南投資勉強会,1776,三井住建道路 親会社三井住友建設による買収
こうへい,湘南投資勉強会,1802,大林組 材料費及び人件費高騰を転嫁した案件への入れ替えが進んでおり、またDOE採用銘柄であることから利益増加が株主還元に繋がりやすいため。
こうへい,湘南投資勉強会,1803,清水建設 材料費及び人件費高騰を転嫁した案件への入れ替えが進んでおり、またPBRが同業に比較して低いことを経営側が決算説明会で言及するなど今後改善の動きが期待できるため。
日本酒軽,湘南投資勉強会,1808,長谷工コーポレーション　マンション需要が更に旺盛に
ににもも,湘南投資勉強会,1812,鹿島 ゼネコン大型株の中でもまだ割安な方？受注残も豊富。
えむじぇい,湘南投資勉強会,1812,鹿島 建設セクターの出遅れ銘柄。採算改善した受注がこれから発現する予定。
ゆきお,湘南投資勉強会,1814,大末建設 建設資材価格高止まりだが、今後価格転嫁ができた工事の進行に伴い利益率改善。
you,湘南投資勉強会,1827,"ナカノフドー
25年建設くる！？海外大型受注。MBO。"
もっぴー,湘南投資勉強会,1832,北海電工
グコウさん,神戸投資勉強会,1840,土屋HD ラピタスと建築基準法改正恩恵頼み
yoshi,湘南投資勉強会,1869,名工建設 万年割安株からの脱却
のりこ,湘南投資勉強会,1871,ピーエス・ コンストラクションインフラ関連が上がりそうなの と PBR PER が低く ROE が高い 来期予想もいい
BEN,湘南投資勉強会,1909,日本ドライケミカル　ビル、半導体工場、データセンター、造船向け防災設備受注好調。現状株価割安。
人間,湘南投資勉強会,1911,住友林業 米国金利低下で米国の住宅販売順調、かつ円安継続で
Ottoto,湘南投資勉強会,1921,巴コーポレーション　PBR1倍割れ対策
牛肉太郎,神戸投資勉強会,1928,積水ハウス　住宅の性能表示義務でリセールバリューを考えると大手の方がお得との流れができる。米国事業もうまくいくかも。
人間,湘南投資勉強会,1928,積水ハウス 米国金利低下で米国の住宅販売順調、かつ円安継続で
sb9984,神戸投資勉強会,1938,"日本リーテック　送配電網工事は今後6から7兆円と言われ、最大手のきんでん、関電工でも売上は6000億規模、今後数年に渡って二番手三番手の会社にも受注が来ると思われる。
主力は鉄道関連の電気工事だが近年送配電工事が増えており鉄道に並ぶ事も考えられ、また送配電工事の研修センターを千葉県に建設中で送配電網工事への本気度が感じられる。
24年3月度の売上は585億、利益剰余金は530億、12月に35円から60円への増配し株価上昇中。
きんでん、住友電設などの同業に対しアクティビストの介入あり、同社にもあれば一段高するかもしれません。"
ボダ子,初参加,1942,関電工 データセンターはアツイ
いち,湘南投資勉強会,1944,きんでん　業績変化、割安
とこいえ,湘南投資勉強会,1959,九電工 下がりすぎ。４月は天井から３か月目で上昇。今回も９月天井から３か月たった。
ボダ子,初参加,1961,三機工業 データセンターはアツイ
お多福。,湘南投資勉強会,1961,三機工業　空調関連　サブコン
柊,湘南投資勉強会,1965,テクノ菱和 サブコン続伸
お多福。,湘南投資勉強会,1965,テクノ菱和　産業空調と株主還元
よっしー,湘南投資勉強会,1965,テクノ菱和 受注拡大、利益率上昇、増配
ヒロ,湘南投資勉強会,1969,高砂熱学 ラピダス関連 10/14の質疑応答に半導体関連に多くの引き合いがあると自信が伺える。データセンターにも商品展開
hiram,湘南投資勉強会,1975,朝日工業社  サブコン
ぱじぃた,湘南投資勉強会,1975,朝日工業社 受注
おとわ,湘南投資勉強会,1980,ダイダン　データセンターはじめ、産業施設工事の旺盛な需要が追い風。10月に海外の設備工事会社を連結子会社化。
fukufukuro,湘南投資勉強会,1982,日比谷総合設備 データセンター関連出遅れ銘柄。NTTグループが最大顧客のため恩恵大きいか。
タカ@takanovalue,湘南投資勉強会,2139,中広 地域広告の進出拡大による確変期待
与野,湘南投資勉強会,2157,コシダカホールディングス　意欲的な業績計画
けん,湘南投資勉強会,2160,GNI F351治験突破時に達成確度高い。治験の論文も読んだが突破可能性も十分あると思われる
HAL,神戸投資勉強会,2170,インクアンドモチベーション 従業員のリスキリング等時流に乗り、最高益を更新中
ポンポコたぬき,湘南投資勉強会,2172,インサイト 若社長が優秀かも？
ごんきち,湘南投資勉強会,2185,シイエム・シイ 自動車関連銘柄とDX支援ツール部分が評価される。昨年から引き続き。
モモクリン,湘南投資勉強会,2196,エスクリ 時価総額・PBR・PER・PSR全て低いが、A種種類株式を償還すればコロナ前へ復活が認識されることを期待。
ゆうと,神戸投資勉強会,2196,エスクリ(すみません、時間がなかったため割愛させて頂きます。)
イド,湘南投資勉強会,2204,中村屋 値上げ
松本,湘南投資勉強会,2207,名糖産業　2024⇨2025で営業利益約5倍　2025年2月に創立80周年でコラボ商品など展開予定
なつみ,湘南投資勉強会,2215,第一屋製パン 構造改革、2023黒字化。ポケモンブーム再燃追い風。
Lily,秋からIR説明会にどちらの勉強会でも参加させて頂いています。,2303,ドーン　警察・消防・自治体防災・社会インフラ保全の課題解決を実現するシステムの導入拡大
スーパーこさく,神戸投資勉強会,2311,エプコ　東京都で太陽光パネル設置義務化。該当子会社従業員1.5倍
明菜,神戸投資勉強会,2315,カイカ デジタル  営業利益黒字浮上。システム開発、金融、通販業、サイバーセキュリティ、AI関連主体の案件豊富で採算改善の為
さすけ,湘南投資勉強会,2326,デジタルアーツ　セキュリティ、GIGA構想
きしん,神戸投資勉強会,2326,デジタルアーツ セキュリティ株の本命、オンプレ→クラウド比率高まりで営利率52％から更に高まる、好財務、2025年度GIGAスクール構想に伴う機器入れ替え（更新）タイミングで公共向け伸長
ボダ子,初参加,2331,ALSOK 大阪万博とか防犯
トモ,湘南投資勉強会,2340,極楽湯　コラボで客数アップ
ベリーピザ,湘南投資勉強会,2340,極楽湯　値上げにより大幅増益。1-3月のピーク時期の大幅増益が期待できる。
くま,特になし,2340,極楽湯　入館者数好調、固定費メインの事業のため損益分岐点超えると利益急増、既存外国人大株主の売りが尽きた後に株価高騰を期待
ちちざっぷ,湘南投資勉強会,2340,極楽湯HD 営利率改善、コラボ＆RAKUSUPAが庶民のエンタメとして人気
とっしー,湘南投資勉強会,2345,クシム　仮想通貨関連出遅れ、Zaif上場予定
ぼんやり田中,神戸投資勉強会,2345,クシム　議決権争いになりそうだが、田原氏側にシナリオがあるのではと妄想
明菜,神戸投資勉強会,2370,メディネット  特定細胞加工物製造受託  体細胞がんの免疫細胞治療／体性幹細胞 歯髄／人工多能性幹細胞／IPS細胞 ES細胞など、技術移転から製造受託まで ／経常利益 純利益 営業活動にやるキャッシュフローもマイナスだけれども、36円 未来のために頑張って欲しいという応援を込めて...
グラッチ,湘南投資勉強会,2395,新日本科学 経鼻偏頭痛薬STS10新薬承認再申請。
ゆー,特になし,2395,新日本科学 受注残は豊富。加えてアメリカでの新規薬剤のFDA承認に向けて動いており2025年中には承認される見通し。現時点でも割安と考えている。
くろすけ,湘南投資勉強会,2410,キャリアデザインセンター　プライム基準になるために株価3000円になるのが必要。業態的にプライムに残りたいでしょうから何らかの株価対策をしてくる可能性が高い。
本屋,湘南投資勉強会,2410,"キョリアデザインセンター プライム基準満たすためには株価3000必要 、大還元で3000オーバーお願いします！
現状1800程度、利回り5%超えで下値は硬そう"
りんご,湘南投資勉強会,2413,エムスリー 売られすぎ
かもめ,湘南投資勉強会,2413,エムスリー。月足レベルでクソ下がって見れなくもないPERまで下がってる成長株シリーズ代表的なやつ。反転あると倍は普通にありそう。
ケンロク,湘南投資勉強会,2418,ツカダGHD  低PER是正
hiro,湘南投資勉強会,2428,ウェルネット　インフレによる決済手数料増加
ごろんちゃん,湘南投資勉強会,2428,ウェルネット ストック性の高いビジネスで1Q好進捗。配当性向に基づく増配が期待できる。
Lily,秋からIR説明会にどちらの勉強会でも参加させて頂いています。,2428,ウェルネット　マルチペイメント需要増。経常利益増益率22%予想。
すっぴー,滋賀投資勉強会,2428,ウェルネット 売りたい人は売っているはず。ストックビジネスについて、評価されれば2倍はあり得る(適当)
yuyu,湘南投資勉強会,2428,ウエルネット 本人認証付き電子マネーが注目をあびる
ぱお,湘南投資勉強会,2429,ワールドHD 九州地域の人材派遣業は期待できる
なべさん@高配当バリュー投資家,湘南投資勉強会,2429,ワールドHD 昨年度は不動産の利益前年前倒しで業績が谷間。それでも昨年度PER7.5倍。中計の来年度営業利益150億が達成出来るなら利益が67%増加する。
koma,KabuBerry,2432,DeNA taxygo ポケポケ　低 PBR
ごろんちゃん,湘南投資勉強会,2432,DeNA ポケポケが海外でも流行ってeSports大会とか開かれちゃうやつ
josui,湘南投資勉強会,2432,DeNA ポケポケの流行
rokuroku,湘南投資勉強会,2432,DeNA　ポケポケブームで全員参加型へ。直近ではどこかが良いレーティング出すか
yume,湘南投資勉強会,2432,DeNA ポケポケ効果。
大陸浪人,湘南投資勉強会,2432,ディー・エヌ・エー ポケポケ大ヒット＆ベイスターズが日本シリーズ連覇
お多福。,湘南投資勉強会,2432,ディーエヌエー　ポケカ
はな,湘南投資勉強会,2432,ディーエヌエー　ポケポケの爆発的ヒット！
やまにゃん,湘南投資勉強会,2432,DeNA　紙のポケモンカードもみんな延々と課金してたし、業績の持続性がありそう
イタル,湘南投資勉強会,2436,共同PR 四季報に記載のとおりトランプ関連銘柄として知名度が上がり、今までの割安放置状態から是正されると見込む。
kawasemi7,湘南投資勉強会,2471,エスプール　コールセンター派遣事業の業績が回復したら、という条件付きではあるが、25年も農園事業が堅調と考えられるから
あきら,神戸投資勉強会,2471,エスプール　下げ止まりから反転を期待。
なのなの,湘南投資勉強会,2484,出前館　ネットキャッシュ＞時価総額。市場からはほぼ事業価値なしとみなされている状況だけに変化次第で爆発する可能性も
えびす,湘南投資勉強会,2484,出前館、財務良好、株主構成、TOB
あんこ,湘南投資勉強会,2488,JTP  EPSで2割近い成長予想　DX、セキュリティ。現状のper10は割安。per20期待。
らう,湘南投資勉強会,2488,ＪＴＰ　アプリ・インフラ双方のIT事業を持ちバランスが良い。開発・運用・教育と幅広く手がける。ガバメントクラウド向けなど国策にも絡む。11/14光通信5％保有。ICT事業を中心にストック比率60%で安定的に成長。ソフトバンクと共同で生成AI関連もやっておりAI関連企業としても期待できる。無借金で財務良く、連続増配が狙える。
日生牡蠣,どちらの勉強会にもまだ参加したことがないです,2502,アサヒグループホールディングス　未来のレモンサワーやヒット商品が続くのに期待と猛暑銘柄で
ぽけもん２,湘南投資勉強会,2531,宝ホールディクス　海外向けの食材卸が続伸、お酒だけでなくインバウンドで訪れた日本での食材を自分の国で食すようになったことでの輸出の伸びが売り上げが乗ってきている。
あべんどT,湘南投資勉強会,2531,宝ホールディングス 海外食品卸の成長、バイオ好転
リネラブ,神戸投資勉強会,2553,One ETF 南方 中国A株 CSI500 財政出動による景気回復
ゴミの持ち腐れ,湘南投資勉強会,2585,ライフドリンクカンパニー ベイシア（スーパーマーケット）に卸しているPB商品のスポーツドリンクを溺愛。夏季1日2~6Lを摂取。付加価値を付けず安価でスタンダードな商品を売りにしていて、今後の物価高次第では販売促進を行わずとも自然と購買意欲が促進され売り上げに反映されると思われる。
奥中 悠二朗,湘南投資勉強会,2588,プレミアムウォーターホールディングス  PFAS規制が厳しくなれば、宅配水契約増えると期待
sb9984,神戸投資勉強会,2607,"不二精油　４月２５日の日経記事、タイトルがカカオ豆品薄、密輸も拍車　農家に届かぬ価格上昇の恩恵、の中に、日本でもチョコレート製品の値上げが避けられそうにない。
伊藤忠商事の山田恵公カカオ・ゴマ課長は「価格が高いカカオ豆由来の原材料の配合を抑え、代替植物油脂を活用するなど消費者目線での製品開発の工夫も始まっている」と指摘する。という件りがあり、代替植物油脂を生産している不二精油の株主を確認すると伊藤忠系だった事から、記事中の山田課長は同社の事を前提にコメントしていると考え、今後需要が顕在化してくると考えました。
気候変動が背景にあり間単には解決出来ない事から息の長い需要拡大が見込め業績拡大、株価上昇を見込んでいます。"
カズ,湘南投資勉強会,2607,不二製油G カカオ豆の価格が高騰してるから
masa,湘南投資勉強会,2607,不二製油グループ本社：カカオの値上がりによりチョコレートの代替原材料として植物油脂の需要/価格が上がることが考えられるため。
しのぴーX＠横綱若三杉,神戸投資勉強会,2652,まんだらけ 2025年1月現在、ROICやWACCを計算してみると適正株価だと感じる一方、扱っているマンガ、アニメ、ゲームなどのグッズの中には希少価値があり、オークションでは高値がつくケースや海外にも根強いファンが存在。帳簿上に現れないような価値があると感じている他、インバウンド観光客需要拡大、京都店新規開業、オンライン通販強化も含めると更に伸びしろがあると感じている。
ほくと,神戸投資勉強会,2681,ゲオHD　セカストの米国進展を期待して
ラッキー,神戸投資勉強会,2681,"ゲオＨＤ
インフレが続き庶民は安い中古品を購入しているため"
タピ,湘南投資勉強会,2681,ゲオホールディングス
りんご,湘南投資勉強会,2692,伊藤忠食品 親会社伊藤忠商事による買収
マックス,草を食べて暮らそう会,2695,くら寿司 世界情勢の変動によって可能性は少しあると思います。
与野,湘南投資勉強会,2749,ＪＰホールディングス　４～５歳児の加配で補助金増など
リネラブ,神戸投資勉強会,2760,東京エレクトロン デバイス 株価底打ちによる回復
タカ@takanovalue,湘南投資勉強会,2764,ひらまつ 外国人富裕層向けの改革による変革期待
ほーちゃんのパパ,湘南投資勉強会,2767,円谷フィールズ　中国景気回復と併せてウルトラマン大人気になると思ったので。
コブダイバー,神戸投資勉強会,2767,"円谷フィールズ
① ウルトラマン カードゲームの売上に期待したい。
② PS事業セグメントのPBによる利益率改善。"
アディ,湘南投資勉強会,2767,円谷フィールズＨＤ　サンリオのようなIPがある会社は非常に業績としても強い。円谷のウルトラマンのIPの強さは日本では全然感じないものの、着実に世界では強力なＩＰになってる。前にトレカでフィールズが評価された四半期業績はカーヨー上場に向けた『仕上げ』もあったりして強すぎる異常値だったが、足元は安定して数字が出ている。10月から発売開始した新トレカに関してもジワジワ成長に期待。パチンコのところは来期はダイコクの持ち分が外れると見栄えは悪くなるかもしれないが、ポテンシャルが評価されれば株価上昇は期待できると思える。ネトフリのウルトラマンライジングを見るとウルトラマンへの評価は大きく変わる。（Ultraman: Rising』世界2位！ 世界69の国と地域でTOP10入り！https://m-78.jp/news/post-7126#）
牛肉太郎,神戸投資勉強会,2767,円谷フィールズホールディングス　IPの収益力は果てしないのと、まぁ、IPはバリエーション無視で上がる流れ。
KZお,湘南投資勉強会,2767,円谷フィールズ　やっと評価されるフェーズに入りそう。
スーパーこさく,神戸投資勉強会,2780,コメ兵ホールディングス　百貨店内店舗開設。ブランド買取店のブランド化
たぬ吉,湘南投資勉強会,2780,コメ兵ホールディングス　2780　利益の伸び　プライム上場
スーパーこさく,神戸投資勉強会,2805,エスビー食品　カレーが北米で配荷進む。ネクスト和弘食品
josui,湘南投資勉強会,2813,和弘食品 海外展開の加速
野松　隆博,湘南投資勉強会,2820,やまみ　アメリカ産大豆の仕入れ価格が、14ドル台から3月に11ドル台で、来期の契約は、10ドル台まで下がる。トランプになり、ドル高から円高に為替のトレンドが変わると2倍になる。
かめぞう,湘南投資勉強会,2820,やまみ　円安継続に伴い中小の豆腐店の倒産が継続し、残存者利益を期待
masa,湘南投資勉強会,2820,やまみ：豆腐市場で、中小零細企業の廃業を＋大豆価格の下落、シェアUPの可能性が高い(賞味期限が高いため)
ほくと,神戸投資勉強会,2897,日清食品HD　二極化による低所得層の増加と完全栄養食の浸透
朝昼晩飯,湘南投資勉強会,2897,日清食品HLD　主力商品の値上げが堅調とのことから
あちし,湘南投資勉強会,2907,あじかん カカオ代替品としてのゴボウに期待
近藤,湘南投資勉強会,2924,イフジ産業 成長性、安定性何をとっても割安。怖いのは鳥インフルエンザがヒトヒト感染した時。
KM,神戸投資勉強会,2928,RIZAP メンバー数増加継続、安定運用化
まちゃ,湘南投資勉強会,2928,RIZAP 中期の営業利益目標が下方修正したもののまだまだ伸びる余地あり
ちちざっぷ,湘南投資勉強会,2928,RIZAP 通期黒字化を達成して念願のチョコザップ事業が認められる
スーパーこさく,神戸投資勉強会,2928,ＲＩＺＡＰグループ　投資フェーズ終了で利益急増配当開始
明菜,神戸投資勉強会,2928,ライザップ  今年は黒字化計画なので
さふらん,湘南投資勉強会,2928,RIZAPグループ　チョコザップ収穫期で業績回復　マシン管理徹底で故障率低減図る。
ゆうき,湘南投資勉強会,2932,"STIフード
セブン向けの惣菜が工場新設で関西にも増加"
メイプル,湘南投資勉強会,2936,ベースフード　：食品のテスラ？
KM,神戸投資勉強会,2936,ベースフード　農林水産省補助事業、成長性
まろまろ,湘南投資勉強会,2962,"テクニスコ　2962
時価総額23億円で自己資本が41億円ありさすがに売られすぎ感。6月決算後来期見通し回復するストーリーで株価は倍に。または株主還元やTOBなど。"
うわん,神戸投資勉強会,2975,スターマイカ チャートが大相場の初動に見えてしまう。
しも,湘南投資勉強会,2980,SRE　コロナバブルから業績が上がってきて割高感が解消
kenmo@湘南投資勉強会,湘南投資勉強会,2981,ランディックス 上場から5年目。グリッチ。エリア拡大戦略と社内教育体制の不備で昨季大幅減益で市場からの注目度はゼロに。しかし2年かけて体制を立て直し、業績は拡大基調。2倍株へのエネルギー蓄積は十分。
ピノキオ,湘南投資勉強会,3004,神栄、冷凍等の食品輸入が柱。湿度センサーで世界トップ。　資源高、原材料費高、円安、人件費増、運送費増のなか、事業選別をへて安定的に利益をだせる状態になってきている。輸入食品が強い中で上記環境であればワンチャンありそう
end,湘南投資勉強会,3020,"アプライド
Windows10サポート終了によるパソコン買い替え需要。
またパソコン国内出荷台数は10月150%、11月147.5%と10月から増加傾向。
配当性向が低い会社だが、中間で配当を増配したので期待感あり。割安。"
ずーかー,湘南投資勉強会,3021,パシフィックネット Windows10のサポート終了とGIGAスクールの端末更新需要
くま,湘南投資勉強会,3021,パシフィックネット 2025年10月のWindows10サポート終了で追い風が来る
end,湘南投資勉強会,3021,パシフィックネット Windows10サポート終了によるパソコン買い替え需要。
ぱじぃた,湘南投資勉強会,3045,カワサキ
タッピィ,所属していません,3045,カワサキ(3045)。経営は祖業の織物を抜本的に改め倉庫業への移行が実る年。3つの事業があります。1倉庫、関西圏賃貸倉庫の活況。今年は来期に向けた仕込みの発表で、業容2倍の目安が織り込まれる。2ホテル直営が今年度から巡航速度になり、また関西万博とインバウンド、統合型IRという大阪景気のホテル活況で数字に現れる。3織物輸入販売の赤字削減。
PINO,湘南投資勉強会,3054,ハイパー　パソコン買替え需要により年央には倍になる可能性も。
end,湘南投資勉強会,3054,"ハイパー
Windows10サポート終了によるパソコン買い替え需要。
小型。割安。"
一心,湘南投資勉強会,3069,JFLA 業績回復と優待復活期待
ひかり,無所属,3076,あいホールディング　防犯、高配当、思惑でも上がりそう
だいたーん,湘南投資勉強会,3093,トレジャーファクトリー　店舗良くリユースの価格も安くため自分も良く利用しているため、またグーグルの口コミも好評で長期に渡り成長が期待出来るかと
人間,湘南投資勉強会,3093,トレファク 成長性に比して割安 生活防衛銘柄（インフレ対策）
かいとん,湘南投資勉強会,3097,物語コーポレーション 海外事業が黒字化を達成。FC展開が始まり収益化が加速すれば評価変わる可能性を秘めている。
とっしー,湘南投資勉強会,3134,Hamee 化粧品事業、ゲーミング事業の確変期待
you,湘南投資勉強会,3134,"Hamee
25年貧乏銘柄。お財布が苦しくても満足度高い推し活の一種に化粧品。
株式市場を牛耳るおじさん達は化粧品に疎い。数字が出ないと理解できない。折り込みも遅いと思われるのでモメンタムもつきやすいかなと予想。"
ぽちた,湘南投資勉強会,3135,マーケットE 利益率良化、上場維持基準
ロニー,湘南投資勉強会,3137,ファンデリー 国産ハイブランド冷食「旬をすぐに」がこれまでECだけだったのが、スーパーでも販売を始めたことで業績が改善する。
さすけ,湘南投資勉強会,3143,オーウィル　アサイーブーム
やさあた,神戸投資勉強会,3174,ハピネス・アンド・ディ 高行使価格SO行使のための株高期待
やまにゃん,湘南投資勉強会,3179,シュッピン　円安→免税売上・越境EC回復で中計達成が期待されればPER切り上がり
とらほう,神戸投資勉強会,3182,オイシックス・ラ・大地 給食事業の拡大、M＆A効果発現に期待
momo,湘南投資勉強会,3193,エターナル　海外進出堅調
タダモノ,湘南投資勉強会,3196,ホットランド　ドジャースタジアム皮切りにアメリカ進出していただければ。浅草のホットランドのやってる居酒屋もいつも客パンパン
一心,湘南投資勉強会,3223,エスエルディー　業績回復と株価対策期待
前田嘉一,神戸投資勉強会,3242,"アーバネット
投資用ワンルームマンションが中核。新設クオカード優待。上場廃止対策が上手くいくかどうかで話題性あり。PBR１割れで高配当。売られ過ぎで割安。逆張りで２倍を狙う。"
めろんぱん,湘南投資勉強会,3252,地主 金利・材料高などあるがそれでも不動産しばらく好調と予想
ちちざっぷ,湘南投資勉強会,3267,フィルカンパニー 低時価、株価底這い、業績変化期
キユーピー,湘南投資勉強会,3267,"フィルカンパニー
潤沢な請負受注。関西エリアの需要増加"
くっすんすん,湘南投資勉強会,3287,星野リゾート・リート投資法人 インバウンドがさらに好調になり、日本の観光業の価値向上。
ユーキ,湘南投資勉強会,3291,80 HD現代重工業　船価上昇
町田,まだ所属できておりません,3300,"アンビションdx hd 
理由は、
・20%の増収と30%の増益を続けている
・Per7.1倍と株探の比較銘柄対比でかなり割安
・配当利回りが4.5%
・プレスリリースの数が非常に多い（12月は3本、11月は9本）。リリースのたびに株価が動く"
リネラブ,神戸投資勉強会,3350,メタプラネット トランプ政権の恩恵を受ける
なかし,湘南投資勉強会,3350,メタプラネット トランプの影響
ぼんやり田中,神戸投資勉強会,3358,ワイエスフード　M＆Aで大きな変化あるのでは
TAKAS,湘南投資勉強会,3358,ワイエスフード　Tajima子会社化
一心,湘南投資勉強会,3372,関門海　業績回復と株価対策期待
fukufukuro,湘南投資勉強会,3374,"内外テック 在庫調整の進捗が進む。PER,PBRが割安なため今後是正されていくはずと想定。"
ほみ株,神戸投資勉強会,3374,内外テック 半導体の需要が回復するため
やまにゃん,湘南投資勉強会,3374,内外テック　これから調子よくなって来期利益のびそう　PER低いし増配もしそう。
kazu4565,湘南投資勉強会,3375,ＺＯＡ　昨年もエントリー　買い替え需要と株主還元の積極性　バリュー株
end,湘南投資勉強会,3375,"ZOA
Windows10サポート終了によるパソコン買い替え需要。
小型。割安。"
くりご飯,湘南投資勉強会,3392,デリカフーズ　カット野菜の売上増加とグリッチの可能性
emi,湘南投資勉強会,3395,サンマルク
☆にゃー☆,湘南投資勉強会,3395,サンマルク、牛かつ買収、海外展開あればいけるかも
たぐけん,湘南投資勉強会,3395,"サンマルクHD 
買収した2件の牛カツ企業の寄与+好調な既存店売上、既存店売上2桁増は24年10月から継続。
中計の見直しがMA2社反映時か本決算時にありそう、説明資料ではコメントあり。
牛カツは国内2倍の店舗数にできるポテンシャルあり、+海外はFCにて拡大予定。"
マッキー,湘南投資勉強会,3397,トリドール　海外展開
ぽちた,湘南投資勉強会,3399,丸千代山岡家 月次良好、利益率良化
もけもけ山,湘南投資勉強会,3415,"Tokyo Base
理由:中国の不採算店舗を閉店して、収益性改善の兆し。優待変更もあって株価がじわじわ上がっている。ただインバウンド好調と言ってる割に売上が伸びてないのが懸念。"
さーさ,神戸投資勉強会,3415,TOKYOBASE 株価の観点で底入れから上昇に転じると予想
yoshi,湘南投資勉強会,3442,MIEコーポレーション エムアイイーコーポレーション
とらほう,神戸投資勉強会,3479,TKP 会議室やホテルの成長・回復とM＆A効果発現に期待
タカ@takanovalue,湘南投資勉強会,3479,TKP 法人需要とリリカラ連結などをファンダメンタルに織り込み株価上昇を期待
やまにゃん,湘南投資勉強会,3479,TKP　ホテル事業の拡大がインバウンドの恩恵を受け株価再評価へ
ゆうと,神戸投資勉強会,3479,"ティーケーピー 
同社はコロナ禍の業績不振を乗り越えて前期は過去最高益を更新し、今期は売上・営業利益・経常利益で過去最高を更新する見込みです。またリージャスの損切りにより投資余力を回復し、本業の貸会議室・ホテルの新規出店・増床も順調に推移しており、今期はリリカラ・ノバレーゼを子会社化するなど業容の拡大も続いています。中計で掲げた2026年2月期の営業利益100億円も射程圏内に見据えている一方、バリエーションは過去最低に近い9.6倍ほどです。そのため総合的に勘案しても2倍程度の上値はあるものと思われます。"
めろんぱん,湘南投資勉強会,3486,グローバルリンク 金利・材料高などあるがそれでも不動産しばらく好調と予想
roku,湘南投資勉強会,3486,グローバルリンク　社長がIR頑張る
とおる,湘南投資勉強会,3486,グローバルリンクM 中計の達成に向けて着実な成長を実現させてくれそうだから
べいべー,湘南投資勉強会,3486,グロリン　来季はお祭り！って社長が言ってた。
太郎ちゃん,勉強会未参加,3498,霞が関キャピタル　年末には調整一巡から27/8期PER10倍程度の2万円台に定着しよう
