	No.	お名前(HN可)	所属陣営	TYPE	銘柄コード	2倍になりそうな銘柄	理由	件数
71	1685	opopo	湘南投資勉強会	東証GR	264A	Schoo	Schoo 法人営業が強くて粗利率も高くてアップサイド多そう。	13
72	1686	とりお	湘南投資勉強会	東証GR	264A	Schoo	スクー 成長性	13
73	1687	piyopiyodawan	神戸投資勉強会	東証GR	264A	Schoo	Schoo。成長率が継続すれば。	13
74	237	太郎ちゃん	勉強会未参加	東証PR	3498	霞ヶ関キャピタル	霞が関キャピタル　年末には調整一巡から27/8期PER10倍程度の2万円台に定着しよう	12
75	238	☆にゃー☆	湘南投資勉強会	東証PR	3498	霞ヶ関キャピタル	霞が関キャピタル、中経で野心的な数字、まだ、ビジネスモデル崩れてない	12
76	239	ヒロシ	湘南投資勉強会	東証PR	3498	霞ヶ関キャピタル	霞ヶ関キャピタル 26.8予想を中経どおり出せば行きそう	12
77	240	KR	湘南投資勉強会	東証PR	3498	霞ヶ関キャピタル	霞ヶ関キャピタル 会社の成長性に変わりなし	12
78	241	フィナンシェ	神戸投資勉強会	東証PR	3498	霞ヶ関キャピタル	霞ヶ関キャピタル 株価のボラ大きいですが、高成長続けてほしいです。	12
79	242	たかね	湘南投資勉強会	東証PR	3498	霞ヶ関キャピタル	霞ヶ関キャピタル 急成長する中計を掲げており、業績次第では大きく上がりそう。	12
80	243	人間	湘南投資勉強会	東証PR	3498	霞ヶ関キャピタル	霞ヶ関キャピタル 金利が意外と上がらず成長性の高さが再認識される。	12
81	244	今亀庵	湘南投資勉強会	東証PR	3498	霞ヶ関キャピタル	霞ヶ関キャピタル　経営者の積極性	12
82	245	モモクリン	湘南投資勉強会	東証PR	3498	霞ヶ関キャピタル	霞ヶ関キャピタル 新中計で5年後純利益10倍500億を出した直後のCB発行で株価はフリーフォールしたが、今期90%増益予想と驚異の成長は健在。ここ数年決算は上振れ着地させており、決算通過に連れて有言実行が評価され株価が業績に追いつくことを期待。	12
83	246	TAKAS	湘南投資勉強会	東証PR	3498	霞ヶ関キャピタル	霞ヶ関キャピタル　成長性を考えれば今は割安。一年後には倍くらいはなってるでしょう(リベンジ)	12
84	247	キリン@神戸投資勉強会	神戸投資勉強会	東証PR	3498	霞ヶ関キャピタル	霞ヶ関キャピタル　毎年すみません	12
85	248	KZお	湘南投資勉強会	東証PR	3498	霞ヶ関キャピタル	霞が関キャピタル　もうええでしょ。	12
86	1655	タッチ	湘南投資勉強会	東証GR	247A	Aiロボティクス	AIロボティクス マーケティングとかブランディングが上手いように見える。今後も新製品をヒットさせそう。	12
87	1656	momota	無所属です	東証GR	247A	Aiロボティクス	AIロボティクス　　業績が右肩上がりでまだまだ伸びそうだと思う。	12
88	1657	rokuroku	湘南投資勉強会	東証GR	247A	Aiロボティクス	Aiロボティクス 　今発売中の美容液と美顔器は楽天ランキングが常に上位。これから出す新商品もランキングが良ければ	12
89	1658	はな	湘南投資勉強会	東証GR	247A	Aiロボティクス	Aiロボティクス　Ai×マーケティング×商品力	12
90	1659	ののこ	湘南投資勉強会	東証GR	247A	Aiロボティクス	Aiロボティクス ゆんすは怪しさ満点でYouTubeでも悪い点が広められつつあるのだが実際楽天のランキングでは上位なので…。美容家電もMTGを思い浮かべるくらい高価だが売れてるので…。株買うのはおじさんが多いので…。	12
91	1660	松本	湘南投資勉強会	東証GR	247A	Aiロボティクス	Aiロボティクス　ユンスを最近よくCMなどで見かけるようになり、Youtubeなどでもインフルエンサーが取り上げている。DUOで株価が急騰したプレミアムアンチエイジングに続けるのではと思った	12
92	1661	でこぽん	神戸投資勉強会	東証GR	247A	Aiロボティクス	AIロボティクス 今のペースで業績が伸びるならまだまだ安い	12
93	1662	フィナンシェ	神戸投資勉強会	東証GR	247A	Aiロボティクス	Aiロボティクス 情報が少ないですが、少数精鋭・DtoCビジネスモデルで急成長を期待します。	12
94	1663	ごろんちゃん	湘南投資勉強会	東証GR	247A	Aiロボティクス	AIロボティクス 新しい事業を始めて大当たり	12
95	1664	ウィン	湘南投資勉強会	東証GR	247A	Aiロボティクス	Aiロボティクス　新商品の売上好調、新商品もリリースされていくため	12
96	1665	がっしー会長	神戸投資勉強会	東証GR	247A	Aiロボティクス	AIロボティクス　素直にコスメの売り上げと利益が増えたが株価に反映される為	12
97	1666	ヒロ	湘南投資勉強会	東証GR	247A	Aiロボティクス	Aiロボティクス 美容液Yunthが急拡大しており街中でもよく見かけるため。ヘアケア、美容家電も好調	12
98	106	koma	KabuBerry	東証PR	2432	ディー・エヌ・エー	DeNA taxygo ポケポケ　低 PBR	11
99	107	ごろんちゃん	湘南投資勉強会	東証PR	2432	ディー・エヌ・エー	DeNA ポケポケが海外でも流行ってeSports大会とか開かれちゃうやつ	11
100	108	josui	湘南投資勉強会	東証PR	2432	ディー・エヌ・エー	DeNA ポケポケの流行	11
101	109	rokuroku	湘南投資勉強会	東証PR	2432	ディー・エヌ・エー	DeNA　ポケポケブームで全員参加型へ。直近ではどこかが良いレーティング出すか	11
102	110	yume	湘南投資勉強会	東証PR	2432	ディー・エヌ・エー	DeNA ポケポケ効果。	11
103	111	大陸浪人	湘南投資勉強会	東証PR	2432	ディー・エヌ・エー	ディー・エヌ・エー ポケポケ大ヒット＆ベイスターズが日本シリーズ連覇	11
104	112	お多福。	湘南投資勉強会	東証PR	2432	ディー・エヌ・エー	ディーエヌエー　ポケカ	11
105	113	はな	湘南投資勉強会	東証PR	2432	ディー・エヌ・エー	ディーエヌエー　ポケポケの爆発的ヒット！	11
106	114	やまにゃん	湘南投資勉強会	東証PR	2432	ディー・エヌ・エー	DeNA　紙のポケモンカードもみんな延々と課金してたし、業績の持続性がありそう	11
107	115	neko4979	東京勉強会	東証PR	2432	ディー・エヌ・エー	DeNA　ポケポケゲームが大うけしているため。	11
108	116	せっきー	湘南投資勉強会	東証PR	2432	ディー・エヌ・エー	DeNA、ポケポケ祭り加速	11
109	858	かいとん	湘南投資勉強会	東証GR	6224	JRC	JRC  ベルトコンベアはリカーリング性が高く、またソリューション売上は粗利も高く収益性の向上が継続的に見込まれるから。優れたビジネスモデルに対して評価あまりされていない	11
110	859	与野	湘南投資勉強会	東証GR	6224	JRC	ＪＲＣ　M&Aとコンベヤ本業好調	11
111	860	写楽保介	湘南投資勉強会	東証GR	6224	JRC	JRC　M&Aや海外展開に期待。ロボットSIも少しだけ期待。	11
112	861	rokuroku	湘南投資勉強会	東証GR	6224	JRC	JRC　エレベータの次はベルトコンベアでしょう	11
113	862	pekepeke	湘南投資勉強会	東証GR	6224	JRC	JRC　コンベヤ事業が堅調。買収会社も寄与して業績拡大中。	11
114	863	あちし	湘南投資勉強会	東証GR	6224	JRC	JRC シナジーあるM＆Aと高シェアによる価格改定力で成長に期待	11
115	864	mindset	湘南投資勉強会	東証GR	6224	JRC	JRC ニッチな業界ながらM&Aで非連続な成長に期待。	11
116	865	イタル	湘南投資勉強会	東証GR	6224	JRC	JRC 昨年買収した企業の業績が乗って大幅増益。投資家からの認知度も上がり、今までの割安放置状態から是正されると見込む。	11
117	866	とおる	湘南投資勉強会	東証GR	6224	JRC	JRC 省人化加速に伴い今後も成長が加速していく気がする。ロボットSIの受注残豊富で今後期待できそう。	11
118	867	たかね	湘南投資勉強会	東証GR	6224	JRC	JRC 増収増益継続。2024年の守屋輸送機みたいな評価されると2倍になるかなぁみたいな。	11
119	868	大陸浪人	湘南投資勉強会	東証GR	6224	JRC	JRC期ズレの期ズレが解消して利益積み上がるかも	11
120	1427	bamboo7	その他	東証GR	9338	INFORICH	INFORICH M&Aでの成長継続を期待	11
121	1428	さすけ	湘南投資勉強会	東証GR	9338	INFORICH	INFORICH　みんな大好きINFORICH	11
122	1429	松本	湘南投資勉強会	東証GR	9338	INFORICH	inforich 海外進出が順調である	11
123	1430	おとわ	湘南投資勉強会	東証GR	9338	INFORICH	ＩＮＦＯＲＩＣＨ　国内ではインバウンド、合わせてアジアへも進出。	11
124	1431	josui	湘南投資勉強会	東証GR	9338	INFORICH	INFORICH 事業成長と価格改定による利益成長	11
125	1432	よっしー	湘南投資勉強会	東証GR	9338	INFORICH	INFORICH 値上げによる業績拡大、割安	11
126	1433	くっすんすん	湘南投資勉強会	東証GR	9338	INFORICH	INFORICH 値上げもユーザ離反なく業績の伸びが順調。日本全国・世界展開を見据え。	11
127	1434	でこぽん	神戸投資勉強会	東証GR	9338	INFORICH	INFORICH 利益率改善で来期も大幅にPER下がりそう	11
128	1435	you	湘南投資勉強会	東証GR	9338	INFORICH	"inforich
25年2月時価総額1000億、30年1兆目指すなら単純計算して株価2倍以上になってないとおかしい。既存事業好調、新規事業、海外展開等まだまだ成長性陰りなし。"	11
129	1436	ぬる	湘南投資勉強会	東証GR	9338	INFORICH	IRがしっかりしており、財務状況がよく経営者の能力が高そうなこと。また、売上の成長はまだ継続することが予想されるため。	11
130	1437	piyopiyodawan	神戸投資勉強会	東証GR	9338	INFORICH	INFORICH。インバウンド継続で期待。	11
131	880	hiram	湘南投資勉強会	東証PR	6254	野村マイクロ・サイエンス	野村マイクロ  売られ過ぎ	10
132	881	kent	湘南投資勉強会	東証PR	6254	野村マイクロ・サイエンス	野村マイクロ 26年3月期北米大型案件着実で株価反転	10
133	882	ゆうき	湘南投資勉強会	東証PR	6254	野村マイクロ・サイエンス	野村マイクロ　そろそろ反転？	10
134	883	くろすけ	湘南投資勉強会	東証PR	6254	野村マイクロ・サイエンス	野村マイクロ　進捗の悪さから株価が軟調ですが、下記会社の予想通りの数値がでれば最高値の半分くらいには戻ると想定。	10
135	884	ほみ株	神戸投資勉強会	東証PR	6254	野村マイクロ・サイエンス	野村マイクロ 半導体の需要が回復するため	10
136	885	すっぴー	滋賀投資勉強会	東証PR	6254	野村マイクロ・サイエンス	野村マイクロ・サイエンス いなご	10
137	886	あんこ	神戸投資勉強会	東証PR	6254	野村マイクロ・サイエンス	野村マイクロサイエンス　売り上げ、営業利益ともに順調に推移。空売り撤退すれば。	10
138	887	ロカ	湘南投資勉強会	東証PR	6254	野村マイクロ・サイエンス	野村マイクロサイエンス 半導体関連の見直しで買われる場面がありそう。	10
139	888	Yokabun	湘南投資勉強会	東証PR	6254	野村マイクロ・サイエンス	野村マイクロサイエンス　半導体洗浄水	10
140	889	むね坊主	神戸投資勉強会	東証PR	6254	野村マイクロ・サイエンス	野村マイクロ　半導体復活期待	10
141	1372	Nori. H	湘南投資勉強会	東証GR	9166	GENDA	ＧＥＮＤＡ	10
142	1373	bamboo7	その他	東証GR	9166	GENDA	GENDA M&Aでの成長継続を期待	10
143	1374	サントーシー	湘南投資勉強会	東証GR	9166	GENDA	GENDA M&Aで業績拡大。プライムへの市場変更で	10
144	1375	masa	神戸投資勉強会	東証GR	9166	GENDA	GENDA　M&A展開でEPSがアップして株価も2倍になると思います。	10
145	1376	シンタロー	湘南投資勉強会	東証GR	9166	GENDA	GENDA　アミューズメント施設やカラオケが好調	10
146	1377	ロカ	湘南投資勉強会	東証GR	9166	GENDA	GENDA 業績上振れ期待	10
147	1378	Chiharu24	湘南投資勉強会	東証GR	9166	GENDA	GENDA 高成長	10
148	1379	よっしー	湘南投資勉強会	東証GR	9166	GENDA	GENDA 社長が優秀、M＆Aで業績伸び期待	10
149	1380	ラッキー	神戸投資勉強会	東証GR	9166	GENDA	"GENDA
M &A が上手い。　アメリカでの事業に期待している。申真衣社長に惚れた。"	10
150	1381	にゃんまる	湘南投資勉強会	東証GR	9166	GENDA	GENDA  M&Aが上手いから	10
151	1009	FN	神戸投資勉強会	東証ST	6862	ミナトホールディングス	ミナトHD  大型受注予定あり	9
152	1010	あちし	湘南投資勉強会	東証ST	6862	ミナトホールディングス	ミナト 定率法による減価償却負担軽減とトップライン成長組み合わされば	9
153	1011	ののこ	湘南投資勉強会	東証ST	6862	ミナトホールディングス	ミナトHD Switch2関連銘柄。ROM書込み作業場5倍に増床し準備万端。パクりました。	9
154	1012	ロニー	湘南投資勉強会	東証ST	6862	ミナトホールディングス	ミナトホールディングス 2025年3月期は減価償却費が減少して増益になると見込まれることで中計が正当に評価される。	9
155	1013	nazuna	湘南投資勉強会	東証ST	6862	ミナトホールディングス	ミナトホールディングス 24/5/14に25年度の減益予想を発表した後株価が下がったが，減益はROM書き込みサービスの設備投資の減価償却費によるものであることと，受注予定の遅れにより発生したものであり，中期経営計画は達成できる -> 27年度売上高460億円 * 純利益率2.5% * PER10倍 = 予想時価総額120億円(現在 63億円)	9
156	1014	りんたん	湘南投資勉強会	東証ST	6862	ミナトホールディングス	ミナトホールディングス ROM書込みサービス事業の伸長を期待	9
157	1015	愛媛のユウ	神戸投資勉強会	東証ST	6862	ミナトホールディングス	ミナトホールディングス 来期は生産能力3.6倍に拡充したDEセグメントにより，利益が大幅成長することに期待しています。	9
158	1016	キユーピー	湘南投資勉強会	東証ST	6862	ミナトホールディングス	ミナトHD ROM書込み装置が任天堂に採用されるとポジティブ。	9
159	1017	猫三昧	神戸投資勉強会	東証ST	6862	ミナトホールディングス	6862ミナトHD 例の噂が本格的に	9
160	1393	さざなみ	湘南投資勉強会	東証PR	9229	サンウェルズ	サンウェルズ   下がりすぎ、単純にリバ期待	9
161	1394	ヒデゾー	湘南投資勉強会	東証PR	9229	サンウェルズ	サンウェルズ  問題解消したら出尽くしで	9
162	1395	大陸浪人	湘南投資勉強会	東証PR	9229	サンウェルズ	サンウェルズ なんだかんだで許されそう	9
163	1396	きよし	湘南投資勉強会	東証PR	9229	サンウェルズ	サンウェルズ 今回の不祥事の減益分を考慮すると、もしかしたら2倍ぐらいにはなるかも。上場維持できていればですけどね。来年以降の成長とか知らんけど。	9
164	1397	初心	湘南投資勉強会	東証PR	9229	サンウェルズ	サンウェルズ 売られすぎ？	9
165	1398	roku	湘南投資勉強会	東証PR	9229	サンウェルズ	サンウェルズ　不祥事みんな忘れる	9
166	1399	TS開運	湘南投資勉強会	東証PR	9229	サンウェルズ	サンウェルズ 不正はなかった リバウンド	9
167	1400	たかたか	神戸投資勉強会	東証PR	9229	サンウェルズ	サンウェルズ 診療報酬過剰請求問題により株価が大きく下がってるが、パーキンソン病専門業態としてビジネスモデルに競争優位性があるため	9
168	1401	DAIBOUCHOU	湘南投資勉強会	東証PR	9229	サンウェルズ	"	サンウェルズ　自分では買わないが、株価急落の逆張り。意外とダメージが軽微で終わる？"	9
169	1589	sakumaT	湘南投資勉強会	東証GR	196A	MFS	MFS    2024年上場のハイグロの一角だと思っている。四季報予想悪くないのと、黑転からの利益拡大フェーズにいるのではないかと予想。	9
170	1590	キリン@神戸投資勉強会	神戸投資勉強会	東証GR	196A	MFS	MFS  時代はモゲチェック	9
171	1591	マックス	草を食べて暮らそう会	東証GR	196A	MFS	MFS ビジネスモデル、現在の会社の状況などを考えると可能性あると思ってます。	9
172	1592	ぴょん	湘南投資勉強会	東証GR	196A	MFS	MFS 業績とIR活動によっては上値ありそう	9
173	1593	ほみ株	神戸投資勉強会	東証GR	196A	MFS	MFS 黒字化のインパクト狙い	9
174	1594	Y.G.	湘南投資勉強会	東証GR	196A	MFS	MFS 時価総額28億円に対してネットキャッシュ18億円のキャッシュリッチ。1Qで進捗率50%超え、売上27%増、モゲチェックの審査申込数増加、単価upで、粗利率改善とアップサイド狙える。	9
175	1595	ウィン	湘南投資勉強会	東証GR	196A	MFS	MFS　住宅ローンを低金利で提供、日銀の利上げが追い風となるのではないか	9
176	1596	Kamakura	湘南投資勉強会	東証GR	196A	MFS	MFS　住宅金利の変動	9
177	1597	ULTRAGENKI 旧サバイブ	湘南投資勉強会	東証GR	196A	MFS	MSF  モゲサワさん推し	9
178	1598	saku	湘南投資勉強会	東証ST	197A	タウンズ	タウンズ　パンデミックが起きたら・・・	9
179	1599	yuyu	湘南投資勉強会	東証ST	197A	タウンズ	タウンズ 季節性感染症の増加が続く	9
180	1600	miya	湘南投資勉強会	東証ST	197A	タウンズ	タウンズ　業績上方修正によるPERの是正	9
181	1601	とりお	湘南投資勉強会	東証ST	197A	タウンズ	タウンズ 堅調な業績と配当	9
182	1602	pekepeke	湘南投資勉強会	東証ST	197A	タウンズ	タウンズ　検査キッド好調。指数的も割安なため見直し買いが入りそう。	9
183	1603	Chiharu24	湘南投資勉強会	東証ST	197A	タウンズ	タウンズ　高収益好業績	9
184	1604	アリエス	湘南投資勉強会	東証ST	197A	タウンズ	タウンズ 上場間もないため評価が定まらない。呼吸器系感染症の流行で、検査キットの需要が急増する可能性がある。	9
185	1605	はな	湘南投資勉強会	東証ST	197A	タウンズ	タウンズ　新工場設立による生産能力3倍！	9
186	1606	ten	所属がわかりません。	東証ST	197A	タウンズ	タウンズ 抗体検査の会社。新興なのに高配当。将来性高い	9
187	1819	kent	湘南投資勉強会	米国	TSLA	テスラ	TESLA テスラ 自動運転､電池､ロボティックス等にトランプの後押し	9
188	1820	マー	湘南投資勉強会	米国	TSLA	テスラ	TSLA 　トランプ政権にイーロン・マスクが加盟し規制緩和を実行するため	9
189	1821	シンタロー	湘南投資勉強会	米国	TSLA	テスラ	TSLA テスラ マスク氏の知名度が増加し業績アップ	9
190	1822	かまやき	神戸投資勉強会	米国	TSLA	テスラ	TSLA テスラ　ロボット期待	9
191	1823	よっしー	湘南投資勉強会	米国	TSLA	テスラ	TSLA テスラ　業績拡大	9
192	1824	SAKANA	湘南投資勉強会	米国	TSLA	テスラ	米国株TSLA ビットコインと連動して上昇することを期待	9
